PlateID,Column,Row,ProcessingDate,CoreID,Morphotype,Notes,OakTip
MBH003,11,H,11 Apr 2024,,NEGCTRL,,
MBH003,12,A,11 Apr 2024,SOS-078,G,,
MBH003,12,B,11 Apr 2024,SOS-078,G,,
MBH003,12,C,11 Apr 2024,SOS-078,H,,
MBH003,12,D,11 Apr 2024,SOS-078,H,,
MBH003,12,E,11 Apr 2024,SOS-078,G,,
MBH003,12,F,11 Apr 2024,SOS-078,H,,
MBH003,12,G,11 Apr 2024,SOS-078,H,,
MBH003,12,H,11 Apr 2024,SOS-078,G,,
MBH004,1,A,11 Apr 2024,SOS-087,C,,
MBH004,1,B,11 Apr 2024,SOS-087,C,,
MBH004,1,C,11 Apr 2024,SOS-087,C,,
MBH004,1,D,11 Apr 2024,SOS-087,C,,
MBH004,1,E,11 Apr 2024,SOS-087,C,,
MBH004,1,F,11 Apr 2024,SOS-087,H,,
MBH004,1,G,11 Apr 2024,SOS-087,C,,
MBH004,1,H,11 Apr 2024,SOS-087,H,,
MBH004,2,A,11 Apr 2024,SOS-086,Q,,
MBH004,2,B,11 Apr 2024,SOS-086,Q,,
MBH004,2,C,11 Apr 2024,SOS-086,C,,
MBH004,2,D,11 Apr 2024,SOS-086,P,,
MBH004,2,E,11 Apr 2024,SOS-086,G,,
MBH004,2,F,11 Apr 2024,SOS-086,K,,
MBH004,2,G,11 Apr 2024,SOS-086,K,,
MBH004,2,H,11 Apr 2024,SOS-086,K,,
MBH004,3,A,11 Apr 2024,SOS-082,I,,
MBH004,3,B,11 Apr 2024,SOS-082,H,,
MBH004,3,C,11 Apr 2024,SOS-082,H,,
MBH004,3,D,11 Apr 2024,SOS-082,H,,
MBH004,3,E,11 Apr 2024,SOS-082,H,,
MBH004,3,F,11 Apr 2024,SOS-082,H,,
MBH004,3,G,11 Apr 2024,SOS-082,Q,,
MBH004,3,H,11 Apr 2024,SOS-082,Q,,
MBH004,4,A,11 Apr 2024,SOS-080,H,,
MBH004,4,B,11 Apr 2024,SOS-080,U,,
