site,tree,slope,core
ANG,942,downhill,MBH-1374
ANG,943,uphill,MBH-1367
ANG,943,downhill,MBH-1368
ANG,944,uphill,MBH-1369
ANG,944,downhill,MBH-1370
ANG,945,uphill,MBH-1371
ANG,945,downhill,MBH-1372
ANG,946,uphill,MBH-1393
ANG,946,downhill,MBH-1394
ANG,947,uphill,MBH-1391
ANG,947,downhill,MBH-1392
ANG,948,uphill,MBH-1389
ANG,948,downhill,MBH-1390
ANG,949,uphill,MBH-1385
ANG,949,downhill,MBH-1386
ANG,950,uphill,MBH-1387
ANG,950,downhill,MBH-1388
PRS,951,uphill,MBH-1433
PRS,951,downhill,MBH-1434
PRS,952,uphill,MBH-1429
PRS,952,downhill,MBH-1430
PRS,953,uphill,MBH-1431
PRS,953,downhill,MBH-1432
PRS,954,uphill,MBH-1425
PRS,954,downhill,MBH-1426
PRS,961,uphill,MBH-1411
PRS,961,downhill,MBH-1412
PRS,955,uphill,MBH-1427
PRS,955,downhill,MBH-1428
PRS,956,uphill,MBH-1423
PRS,956,downhill,MBH-1424
PRS,957,uphill,MBH-1419
PRS,957,downhill,MBH-1420
PRS,969,uphill,MBH-1401
PRS,969,downhill,MBH-1402
PRS,968,uphill,MBH-1395
PRS,968,downhill,MBH-1396
PRS,967,uphill,MBH-1399
PRS,967,downhill,MBH-1400
PRS,966,uphill,MBH-1397
PRS,966,downhill,MBH-1398
PRS,965,uphill,MBH-1403
PRS,965,downhill,MBH-1404
PRS,964,uphill,MBH-1405
PRS,964,downhill,MBH-1406
PRS,963,uphill,MBH-1407
PRS,963,downhill,MBH-1408
PRS,962,uphill,MBH-1409
PRS,962,downhill,MBH-1410
PRS,960,uphill,MBH-1413
PRS,960,downhill,MBH-1414
PRS,959,uphill,MBH-1415
PRS,959,downhill,MBH-1416
PRS,958,uphill,MBH-1417
PRS,958,downhill,MBH-1418
PRS,971,uphill,MBH-1421
PRS,971,downhill,MBH-1422
SQL,972,uphill,MBH-1443
SQL,972,downhill,MBH-1444
SQL,973,uphill,MBH-1441
SQL,973,downhill,MBH-1442
SQL,974,uphill,MBH-1435
SQL,974,downhill,MBH-1436
SQL,975,uphill,MBH-1437
SQL,975,downhill,MBH-1438
SQL,976,uphill,MBH-1439
SQL,976,downhill,MBH-1440
SQL,977,uphill,MBH-1445
SQL,977,downhill,MBH-1446
SQL,978,uphill,MBH-1447
SQL,978,downhill,MBH-1448
SQL,979,uphill,MBH-1452
SQL,979,downhill,MBH-1451
SQL,980,uphill,MBH-1449
SQL,980,downhill,MBH-1450
SQL,981,uphill,MBH-1473
SQL,981,downhill,MBH-1474
SQL,982,uphill,MBH-1471
SQL,982,downhill,MBH-1472
SQL,983,uphill,MBH-1469
SQL,983,downhill,MBH-1470
SQL,984,uphill,MBH-1465
SQL,984,downhill,MBH-1466
SQL,985,uphill,MBH-1453
SQL,985,downhill,MBH-1454
SQL,986,uphill,MBH-1463
SQL,986,downhill,MBH-1464
SQL,987,uphill,MBH-1461
SQL,987,downhill,MBH-1462
SQL,988,uphill,MBH-1457
SQL,988,downhill,MBH-1458
SQL,989,uphill,MBH-1455
SQL,989,downhill,MBH-1456
SQL,990,uphill,MBH-1467
SQL,990,downhill,MBH-1468
SQL,991,uphill,MBH-1459
SQL,991,downhill,MBH-1460
